EC	Gene	Nuccore	Virus
148	UL40	NC_006273.2	HHV5
149	UL41A	NC_006273.2	HHV5
150	UL42	NC_006273.2	HHV5
151	UL43	NC_006273.2	HHV5
152	UL44	NC_006273.2	HHV5
153	UL45	NC_006273.2	HHV5
154	UL46	NC_006273.2	HHV5
155	UL47	NC_006273.2	HHV5
156	UL48	NC_006273.2	HHV5
157	UL48A	NC_006273.2	HHV5
158	UL49	NC_006273.2	HHV5
159	UL50	NC_006273.2	HHV5
160	UL51	NC_006273.2	HHV5
161	UL52	NC_006273.2	HHV5
162	UL53	NC_006273.2	HHV5
163	UL54	NC_006273.2	HHV5
164	UL55	NC_006273.2	HHV5
165	UL56	NC_006273.2	HHV5
166	UL57	NC_006273.2	HHV5
167	UL69	NC_006273.2	HHV5
168	UL70	NC_006273.2	HHV5
169	UL71	NC_006273.2	HHV5
170	UL72	NC_006273.2	HHV5
171	UL73	NC_006273.2	HHV5
172	UL74	NC_006273.2	HHV5
173	UL74A	NC_006273.2	HHV5
174	UL75	NC_006273.2	HHV5
175	UL76	NC_006273.2	HHV5
176	UL77	NC_006273.2	HHV5
177	UL78	NC_006273.2	HHV5
178	UL79	NC_006273.2	HHV5
179	UL80	NC_006273.2	HHV5
180	UL80.5	NC_006273.2	HHV5
181	UL82	NC_006273.2	HHV5
182	UL83	NC_006273.2	HHV5
183	UL84	NC_006273.2	HHV5
184	UL85	NC_006273.2	HHV5
185	UL86	NC_006273.2	HHV5
186	UL87	NC_006273.2	HHV5
187	UL88	NC_006273.2	HHV5
188	UL89	NC_006273.2	HHV5
189	UL91	NC_006273.2	HHV5
190	UL92	NC_006273.2	HHV5
191	UL93	NC_006273.2	HHV5
192	UL94	NC_006273.2	HHV5
193	UL95	NC_006273.2	HHV5
194	UL96	NC_006273.2	HHV5
195	UL97	NC_006273.2	HHV5
196	UL98	NC_006273.2	HHV5
197	UL99	NC_006273.2	HHV5
198	UL100	NC_006273.2	HHV5
199	UL102	NC_006273.2	HHV5
200	UL103	NC_006273.2	HHV5
201	UL104	NC_006273.2	HHV5
202	UL105	NC_006273.2	HHV5
203	UL111A	NC_006273.2	HHV5
204	UL112	NC_006273.2	HHV5
205	UL114	NC_006273.2	HHV5
206	UL115	NC_006273.2	HHV5
207	UL116	NC_006273.2	HHV5
208	UL117	NC_006273.2	HHV5
209	UL119	NC_006273.2	HHV5
210	UL120	NC_006273.2	HHV5
211	UL121	NC_006273.2	HHV5
212	UL122	NC_006273.2	HHV5
213	UL123	NC_006273.2	HHV5
214	UL124	NC_006273.2	HHV5
215	UL130	NC_006273.2	HHV5
216	UL131A	NC_006273.2	HHV5
217	UL132	NC_006273.2	HHV5
218	UL148	NC_006273.2	HHV5
219	UL147A	NC_006273.2	HHV5
220	UL147	NC_006273.2	HHV5
221	UL146	NC_006273.2	HHV5
222	UL145	NC_006273.2	HHV5
223	UL144	NC_006273.2	HHV5
224	UL142	NC_006273.2	HHV5
225	UL141	NC_006273.2	HHV5
226	UL140	NC_006273.2	HHV5
227	UL139	NC_006273.2	HHV5
228	UL138	NC_006273.2	HHV5
229	UL136	NC_006273.2	HHV5
230	UL135	NC_006273.2	HHV5
231	UL133	NC_006273.2	HHV5
232	UL148A	NC_006273.2	HHV5
233	UL148B	NC_006273.2	HHV5
234	UL148C	NC_006273.2	HHV5
235	UL148D	NC_006273.2	HHV5
236	UL150	NC_006273.2	HHV5
237	UL150A	NC_006273.2	HHV5
238	IRS1	NC_006273.2	HHV5
239	US1	NC_006273.2	HHV5
240	US2	NC_006273.2	HHV5
241	US3	NC_006273.2	HHV5
242	US6	NC_006273.2	HHV5
243	US7	NC_006273.2	HHV5
244	US8	NC_006273.2	HHV5
245	US9	NC_006273.2	HHV5
246	US10	NC_006273.2	HHV5
247	US11	NC_006273.2	HHV5
248	US12	NC_006273.2	HHV5
249	US13	NC_006273.2	HHV5
250	US14	NC_006273.2	HHV5
251	US15	NC_006273.2	HHV5
252	US16	NC_006273.2	HHV5
253	US17	NC_006273.2	HHV5
254	US18	NC_006273.2	HHV5
255	US19	NC_006273.2	HHV5
256	US20	NC_006273.2	HHV5
257	US21	NC_006273.2	HHV5
258	US22	NC_006273.2	HHV5
259	US23	NC_006273.2	HHV5
260	US24	NC_006273.2	HHV5
261	US26	NC_006273.2	HHV5
262	US27	NC_006273.2	HHV5
263	US27	NC_006273.2	HHV5
264	US29	NC_006273.2	HHV5
265	US30	NC_006273.2	HHV5
266	US31	NC_006273.2	HHV5
267	US32	NC_006273.2	HHV5
268	US33A	NC_006273.2	HHV5
269	US33A	NC_006273.2	HHV5
270	US33A	NC_006273.2	HHV5
271	TRS1	NC_006273.2	HHV5
272	LMP-2A	NC_007605.1	HHV4
273	LMP-2B	NC_007605.1	HHV4
274	BNRF1	NC_007605.1	HHV4
275	BCRF1	NC_007605.1	HHV4
276	BWRF1	NC_007605.1	HHV4
277	EBNA-LP	NC_007605.1	HHV4
278	BWRF1	NC_007605.1	HHV4
279	BWRF1	NC_007605.1	HHV4
280	BWRF1	NC_007605.1	HHV4
281	BWRF1	NC_007605.1	HHV4
282	BWRF1	NC_007605.1	HHV4
283	BWRF1	NC_007605.1	HHV4
284	BWRF1	NC_007605.1	HHV4
285	EBNA-2	NC_007605.1	HHV4
286	BHLF1	NC_007605.1	HHV4
287	BHRF1	NC_007605.1	HHV4
288	BFLF2	NC_007605.1	HHV4
289	BFLF1	NC_007605.1	HHV4
290	BFRF1A	NC_007605.1	HHV4
291	BFRF1	NC_007605.1	HHV4
292	BFRF2	NC_007605.1	HHV4
293	BFRF3	NC_007605.1	HHV4
294	BPLF1	NC_007605.1	HHV4
295	BOLF1	NC_007605.1	HHV4
296	BORF1	NC_007605.1	HHV4
297	BORF2	NC_007605.1	HHV4
298	BaRF1	NC_007605.1	HHV4
299	BMRF1	NC_007605.1	HHV4
300	BMRF2	NC_007605.1	HHV4
301	BSLF2/BMLF1	NC_007605.1	HHV4
302	BSLF1	NC_007605.1	HHV4
303	BSRF1	NC_007605.1	HHV4
304	BLLF3	NC_007605.1	HHV4
305	BLRF1	NC_007605.1	HHV4
306	BLRF2	NC_007605.1	HHV4
307	BLLF1	NC_007605.1	HHV4
308	BLLF2	NC_007605.1	HHV4
309	EBNA-3A	NC_007605.1	HHV4
310	EBNA-3B/EBNA-3C	NC_007605.1	HHV4
311	EBNA-3B/EBNA-3C	NC_007605.1	HHV4
312	BZLF2	NC_007605.1	HHV4
313	BZLF1	NC_007605.1	HHV4
314	BRLF1	NC_007605.1	HHV4
315	BRRF1	NC_007605.1	HHV4
316	BRRF2	NC_007605.1	HHV4
317	EBNA-1	NC_007605.1	HHV4
318	BKRF2	NC_007605.1	HHV4
319	BKRF3	NC_007605.1	HHV4
320	BKRF4	NC_007605.1	HHV4
321	BBLF4	NC_007605.1	HHV4
322	BBRF1	NC_007605.1	HHV4
323	BBRF2	NC_007605.1	HHV4
324	BBLF2/BBLF3	NC_007605.1	HHV4
325	BBRF3	NC_007605.1	HHV4
326	BBLF1	NC_007605.1	HHV4
327	BGLF5	NC_007605.1	HHV4
328	BGLF4	NC_007605.1	HHV4
329	BGLF3.5	NC_007605.1	HHV4
330	BGLF3	NC_007605.1	HHV4
331	BGRF1/BDRF1	NC_007605.1	HHV4
332	BGLF2	NC_007605.1	HHV4
333	BGLF1	NC_007605.1	HHV4
334	BDLF4	NC_007605.1	HHV4
335	BDLF3.5	NC_007605.1	HHV4
336	BDLF3	NC_007605.1	HHV4
337	BDLF2	NC_007605.1	HHV4
338	BDLF1	NC_007605.1	HHV4
339	BcLF1	NC_007605.1	HHV4
340	BcRF1	NC_007605.1	HHV4
341	BTRF1	NC_007605.1	HHV4
342	BXLF2	NC_007605.1	HHV4
343	BXLF1	NC_007605.1	HHV4
344	BXRF1	NC_007605.1	HHV4
345	BVRF1	NC_007605.1	HHV4
346	BVLF1	NC_007605.1	HHV4
347	BVRF2	NC_007605.1	HHV4
348	BdRF1	NC_007605.1	HHV4
349	BILF2	NC_007605.1	HHV4
350	LF3	NC_007605.1	HHV4
351	LF2	NC_007605.1	HHV4
352	LF1	NC_007605.1	HHV4
353	RPMS1	NC_007605.1	HHV4
354	BILF1	NC_007605.1	HHV4
355	BALF5	NC_007605.1	HHV4
356	BALF4	NC_007605.1	HHV4
357	A73	NC_007605.1	HHV4
358	BALF3	NC_007605.1	HHV4
359	BARF0	NC_007605.1	HHV4
360	BALF2	NC_007605.1	HHV4
361	BALF1	NC_007605.1	HHV4
362	BARF1	NC_007605.1	HHV4
363	LMP-1	NC_007605.1	HHV4
364	LMP-1	NC_007605.1	HHV4
365	LMP-1	NC_007605.1	HHV4
366	RL1	NC_001806.2	HHV1
367	RL2	NC_001806.2	HHV1
368	UL1	NC_001806.2	HHV1
369	UL2	NC_001806.2	HHV1
370	UL3	NC_001806.2	HHV1
371	UL4	NC_001806.2	HHV1
372	UL5	NC_001806.2	HHV1
373	UL6	NC_001806.2	HHV1
374	UL7	NC_001806.2	HHV1
375	UL8	NC_001806.2	HHV1
376	UL9	NC_001806.2	HHV1
377	UL10	NC_001806.2	HHV1
378	UL11	NC_001806.2	HHV1
379	UL12	NC_001806.2	HHV1
380	UL13	NC_001806.2	HHV1
381	UL14	NC_001806.2	HHV1
382	UL15	NC_001806.2	HHV1
383	UL16	NC_001806.2	HHV1
384	UL17	NC_001806.2	HHV1
385	UL18	NC_001806.2	HHV1
386	UL19	NC_001806.2	HHV1
387	UL20	NC_001806.2	HHV1
388	UL21	NC_001806.2	HHV1
389	UL22	NC_001806.2	HHV1
390	UL23	NC_001806.2	HHV1
391	UL24	NC_001806.2	HHV1
392	UL25	NC_001806.2	HHV1
393	UL26	NC_001806.2	HHV1
394	UL26.5	NC_001806.2	HHV1
395	UL27	NC_001806.2	HHV1
396	UL28	NC_001806.2	HHV1
397	UL29	NC_001806.2	HHV1
398	UL30	NC_001806.2	HHV1
399	UL31	NC_001806.2	HHV1
400	UL32	NC_001806.2	HHV1
401	UL33	NC_001806.2	HHV1
